Date,Open,Close,Volume,gap,upDown
2011-04-13,5.026,4.986,6057500,-0.79,0
2011-04-14,4.974,5.028,4917000,1.08,1
2011-04-15,5.13,5.116,4717500,-0.27,0
2011-04-18,5.026,5.006,5169500,-0.39,0
2011-04-19,5.052,5.032,2743500,-0.39,0
2011-04-20,5.14,5.15,4186000,0.19,0
2011-04-21,5.17,5.348,6930500,3.44,1
2011-04-25,5.34,5.278,4004500,-1.16,-1
2011-04-26,5.332,5.386,7000000,1.01,1
2011-04-27,5.386,5.416,4984500,0.55,0
2011-04-28,5.414,5.532,8000000,2.17,1
2011-04-29,5.538,5.52,3630000,-0.32,0
2011-05-02,5.52,5.49,3923000,-0.54,0
2011-05-03,5.476,5.374,4569500,-1.86,-1
2011-05-04,5.356,5.338,5222500,-0.33,0
2011-05-05,5.44,5.288,6092500,-2.79,-1
2011-05-06,5.38,5.424,4908500,0.81,0
2011-05-09,5.4,5.582,4582000,3.37,1
2011-05-10,5.648,5.666,7676500,0.31,0
2011-05-11,5.64,5.414,4812500,-4.0,-1
2011-05-12,5.414,5.534,3140000,2.21,1
2011-05-13,5.6,5.51,3307500,-1.6,-1
2011-05-16,5.598,5.32,3778500,-4.96,-1
2011-05-17,5.4,5.192,6171000,-3.85,-1
2011-05-18,5.22,5.27,3647500,0.95,0
2011-05-19,5.406,5.64,13275500,4.32,1
2011-05-20,5.652,5.594,4212500,-1.02,-1
2011-05-23,5.524,5.364,4318000,-2.89,-1
2011-05-24,5.404,5.344,3068500,-1.11,-1
2011-05-25,5.38,5.796,23465500,7.73,1
2011-05-26,5.764,5.896,16684500,2.29,1
2011-05-27,5.908,5.91,8435500,0.03,0
2011-05-31,5.938,6.028,16452500,1.51,1
2011-06-01,6.0,5.704,7649500,-4.93,-1
2011-06-02,5.704,5.752,4931500,0.84,0
2011-06-03,5.99,6.026,31046000,0.6,0
2011-06-06,6.02,5.74,11655500,-4.65,-1
2011-06-07,5.788,5.674,6110500,-1.96,-1
2011-06-08,5.688,5.424,8479500,-4.64,-1
2011-06-09,5.486,5.524,8016000,0.69,0
2011-06-10,5.504,5.572,7833000,1.23,1
2011-06-13,5.614,5.686,8567000,1.28,1
2011-06-14,5.708,5.72,7867000,0.21,0
2011-06-15,5.688,5.464,6725000,-3.93,-1
2011-06-16,5.534,5.3,9211000,-4.22,-1
2011-06-17,5.374,5.3,8570000,-1.37,-1
2011-06-20,5.258,5.202,7689000,-1.06,-1
2011-06-21,5.248,5.506,7480000,4.91,1
2011-06-22,5.474,5.442,7378000,-0.58,0
2011-06-23,5.44,5.542,5850000,1.87,1
2011-06-24,5.528,5.514,18042500,-0.25,0
2011-06-27,5.546,5.492,9047000,-0.97,0
2011-06-28,5.558,5.622,4446000,1.15,1
2011-06-29,5.7,5.658,7309000,-0.73,0
2011-06-30,5.7,5.826,4733500,2.21,1
2011-07-01,5.814,5.804,4274500,-0.17,0
2011-07-05,5.804,5.828,4980000,0.41,0
2011-07-06,5.828,5.792,4634500,-0.61,0
2011-07-07,5.828,5.946,6639500,2.02,1
2011-07-08,5.978,5.762,6203000,-3.61,-1
2011-07-11,5.68,5.67,4879000,-0.17,0
2011-07-12,5.674,5.634,5227000,-0.7,0
2011-07-13,5.686,5.728,5330000,0.73,0
2011-07-14,5.706,5.522,5795000,-3.22,-1
2011-07-15,5.558,5.516,3545000,-0.75,0
2011-07-18,5.468,5.446,4259500,-0.4,0
2011-07-19,5.516,5.578,5130500,1.12,1
2011-07-20,5.6,5.738,15241500,2.46,1
2011-07-21,5.782,5.74,5057500,-0.72,0
2011-07-22,5.74,5.858,2917500,2.05,1
2011-07-25,5.802,5.698,3366500,-1.79,-1
2011-07-26,5.662,5.6,3803000,-1.09,-1
2011-07-27,5.7,5.528,4792500,-3.01,-1
